"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"502
Molec & Metabolic Basis of Med","001","","89","3.270","37.1","11.2","36.0","6.7","5.6","3.4",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","89","3.562","50.6","22.5","19.1","4.5","3.4",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","89","3.348","21.3","34.8","39.3","1.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","89","3.331","37.1","18.0","27.0","10.1","7.9",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","84","3.089","23.8","19.0","26.2","13.1","17.9",".",".",".",".",".",".",".",".",".",".","."
"556
Veterinary Pharmacology","001","","85","3.188","20.0","24.7","35.3","10.6","8.2",".",".",".",".",".",".",".","1.2",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","3.969","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","28","",".",".",".",".",".",".",".","96.4",".",".",".",".",".",".","3.6","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
