"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
003","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
004","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"Grammar for Academic Use","Course Total","22","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","116
001","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","116
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","16","",".",".",".",".",".",".",".",".",".","81.3","18.8",".",".",".",".","."
"","116
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
007","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","96","",".",".",".",".",".",".",".",".",".","94.8","5.2",".",".",".",".","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
015","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
018","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
020","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing I","Course Total","303","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"","118
001","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","002
118","15","3.467","53.3","26.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","003
118","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","004
118","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
118","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
118","14","3.393","35.7","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","118
010","13","3.500","46.2","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
011","15","3.714","60.0","13.3","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","012
118","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
