"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","259","3.071","28.2","19.3","14.7","13.5","14.7","4.2","0.4","0.8",".",".",".",".",".","0.4","3.9","."
"Weather and Climate","101","001","84","3.304","33.3","33.3","11.9","8.3","10.7","2.4",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","43","3.442","37.2","39.5","9.3","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","28","3.411","53.6","14.3","14.3","3.6","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","29","3.519","37.9","27.6","13.8","10.3",".",".",".","10.3",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","10","3.050","10.0","20.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","10","3.786","40.0","30.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","10","3.000","10.0","40.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","14","3.393","28.6","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Computational Methods in AOS","573","001","6","3.500","33.3","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","14","3.500","35.7","21.4","35.7",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Geophys Fluid Dynamics II","611","001","10","3.300","20.0","60.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","11","3.350","18.2","27.3","45.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meterologicl Satellite Appl","745","001","6","3.833","33.3","16.7",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","","Course Total","9","3.938","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","925","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Oceanography","965","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 272 of 422",""
