"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","143","3.778","81.1","4.9","7.0","2.8","2.8",".","0.7","0.7",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","34","3.221","29.4","23.5","20.6","20.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","169","3.574","48.5","34.3","10.1","3.6","1.2","1.8","0.6",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","64","3.016","10.9","32.8","29.7","10.9","10.9","4.7",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","86","3.355","37.2","16.3","36.0","3.5","5.8","1.2",".",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","61","3.467","34.4","36.1","19.7","8.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","17","3.382","11.8","58.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","21","3.619","38.1","47.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","42","3.643","45.2","42.9","7.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","230","001","15","2.567","20.0","6.7","20.0","26.7","13.3",".","13.3",".",".",".",".",".",".",".",".","."
"","230","002","11","3.182","36.4","9.1","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","","Course Total","26","2.827","26.9","7.7","19.2","26.9","11.5",".","7.7",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","31","3.484","25.8","54.8","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","39","3.090","30.8","12.8","25.6","15.4","10.3","5.1",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310","001","13","3.346","23.1","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Conservation","339","001","69","3.014","15.9","26.1","30.4","11.6","13.0",".","2.9",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","17","3.529","41.2","23.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","35","2.912","17.1","5.7","57.1",".","11.4",".","5.7","2.9",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.000","22.2","11.1","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"","400","001","42","3.524","45.2","28.6","16.7","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","400","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","53","3.490","41.5","26.4","20.8","5.7","3.8",".",".","1.9",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","20","3.316","75.0",".",".",".","5.0","5.0","10.0","5.0",".",".",".",".",".",".",".","."
"","402","001","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","402","002","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","007","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","010","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","139","3.782","78.4","11.5","7.2",".",".",".",".","2.2",".",".",".",".",".",".","0.7","."
"Topics in Envir: Humanistic","404","003","13","3.269","38.5","23.1","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","13","3.292","7.7","46.2","30.8","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"People, Wildlife & Landscapes","434","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","99","3.521","38.4","25.3","32.3","1.0",".",".",".","1.0",".",".",".",".",".","2.0",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 159 of 422",""
