"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2941","3.286","40.2","18.7","17.7","8.4","8.0","2.8","1.3","1.9","",".","0.2","",".","0.7","0.1",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.483","46.7","26.7","10.0","10.0","6.7",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","418","3.168","33.3","20.8","17.9","11.2","12.9","2.6","1.0",".","",".",".","",".",".","0.2",".",".","."
"Junior","","1043","3.157","35.3","18.1","19.3","11.1","10.5","3.8","1.4","0.1","",".","0.2","",".",".","0.2",".",".","."
"Senior","","776","3.192","38.9","17.8","18.6","9.7","8.5","3.7","2.1","0.1","",".","0.5","",".",".","0.1",".",".","."
"Undergraduates","","2267","3.175","36.3","18.6","18.7","10.6","10.2","3.5","1.5","0.1","",".","0.3","",".",".","0.2",".",".","."
"Special","","190","3.629","54.2","26.8","16.3","1.1",".","0.5","0.5",".","",".",".","",".",".",".",".","0.5","."
"Graduate","","483","3.691","52.8","16.1","13.9","0.6","0.8","0.2","0.2","11.2","",".",".","",".","4.1",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2941","3.286","40.2","18.7","17.7","8.4","8.0","2.8","1.3","1.9","",".","0.2","",".","0.7","0.1",".","0.0","."
