"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","23","3.457","34.8","26.1","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","60","3.283","16.7","41.7","30.0","5.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","88","3.069","13.6","18.2","43.2","18.2","4.5","1.1",".","1.1",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","67","2.806","13.4","19.4","19.4","19.4","23.9","4.5",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","92","3.054","13.0","28.3","41.3","4.3","8.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","69","2.862","23.2","8.7","21.7","27.5","10.1","8.7",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","52","3.433","38.5","25.0","28.8","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","73","3.438","30.1","30.1","37.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","33","3.364","27.3","33.3","30.3","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","61","3.230","21.3","21.3","45.9","4.9","6.6",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","","16","3.533","37.5","25.0","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Water Resources Systems Analys","416","001","","25","3.938","84.0","12.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","30","3.700","63.3","16.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","428","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","36","3.944","91.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","48","3.010","6.3","37.5","29.2","14.6","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","62","3.718","43.5","56.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","24","3.583","50.0","25.0","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","75","3.353","18.7","45.3","25.3","9.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","","Course Total","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","27","3.315","25.9","11.1","63.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","53","3.632","56.6","13.2","30.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579","001","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579","002","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","","Course Total","","61","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","37","3.622","48.6","27.0","24.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbio-Pathogens & Organisms","623","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","002","","42","3.925","88.1","4.8","4.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","46","3.898","84.8","6.5","6.5",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
