"","769
007","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Clerkship","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","1931","3.650","58.9","19.4","11.5","4.6","2.9","0.2","0.2","1.5","",".","0.6","",".","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.711","58.3","16.7","16.7","8.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","36","3.679","69.4","8.3","8.3","5.6",".","2.8",".",".","",".",".","",".","",".","5.6",".",".","."
"Junior","","13","3.386","38.5","30.8","15.4","15.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","43","2.988","20.9","23.3","9.3","20.9","18.6","2.3",".","4.7","",".",".","",".","",".",".",".",".","."
"Undergraduates","","104","3.324","44.2","18.3","10.6","13.5","7.7","1.9",".","1.9","",".",".","",".","",".","1.9",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","26","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","233","3.936","88.8","4.7","0.9",".","0.9","0.4",".",".","",".","4.3","",".","",".",".",".",".","."
"Prof Yr 2","","782","3.410","43.5","28.6","15.7","6.3","2.9",".","0.1","2.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","531","3.505","57.1","18.5","14.3","4.1","4.0",".","0.6","0.8","",".","0.4","",".","",".",".",".","0.4","."
"Prof Yr 4","","254","3.875","84.6","9.1","3.9","1.6","0.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1800","3.659","59.2","19.8","11.7","4.2","2.7","0.1","0.2","1.4","",".","0.7","",".","",".",".",".","0.1","."
"","Dept. Total","1931","3.650","58.9","19.4","11.5","4.6","2.9","0.2","0.2","1.5","",".","0.6","",".","",".","0.1",".","0.1","."
