"","922
004","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","922
006","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rsch in Human Cancer Bio","990
022","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"H ONCOL
480","Dept. Total","","26","3.967","84.6","7.7","",".","",".","",".","",".","",".","",".","",".",".","",".","3.8","",".",".","3.8","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","8","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","9","4.000","88.9",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","11.1","."
"Undergraduates","","","20","4.000","95.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","5.0","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","","5","***","","","","","","","","","","","","","","","","",".","",".","20.0","",".",".",".","."
"Professionals","","","6","3.800","50.0","33.3","",".","",".","",".","",".","",".","",".","",".",".","",".","16.7","",".",".",".","."
"","Dept. Total","","26","3.967","84.6","7.7","",".","",".","",".","",".","",".","",".","",".",".","",".","3.8","",".",".","3.8","."
