"L&S","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"104
Second Semester Greek","001","","8","3.429","37.5","25.0","12.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"304
Second Semester Greek","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"306
Intermediate Greek","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Greek Comedy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
