"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","48","4.000","95.8",".",".",".",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"","1
002","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
1","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
004","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","127","3.932","87.4","8.7","2.4",".",".",".",".","0.8",".",".",".",".","0.8",".",".","."
"","001
112","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","112
002","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","40","3.777","77.5","10.0","5.0","2.5","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"","118
001","48","3.948","95.8","2.1",".",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","118
002","34","3.882","97.1",".",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","82","3.921","96.3","1.2",".",".","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Contemporary Dance II","12
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","17","3.559","41.2","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","22","3.738","72.7","4.5","13.6",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","135
001","33","3.414","45.5","21.2","6.1","9.1",".","3.0","3.0","12.1",".",".",".",".",".",".",".","."
"","135
002","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","27","3.926","92.6","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","94","3.756","73.4","12.8","3.2","4.3",".","1.1","1.1","4.3",".",".",".",".",".",".",".","."
"Pilates Equipment Lab I","136
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","25","3.913","76.0","16.0",".",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Intro-Movement Analysis","157
001","21","3.800","81.0","9.5",".",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"","2
001","41","3.707","73.2","9.8","12.2",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","002
2","43","3.813","79.1",".","7.0","7.0",".",".",".","2.3",".",".",".",".","2.3",".","2.3","."
"","003
2","36","3.778","77.8","5.6","13.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","004
2","41","3.854","82.9","7.3","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","161","3.788","78.3","5.6","9.9","2.5","1.2","0.6",".","0.6",".",".",".",".","0.6",".","0.6","."
"Dance","001
205","18","3.333","38.9","11.1","38.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","212
001","9","3.750","66.7","11.1",".","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"","002
212","12","3.714","83.3",".",".",".",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"","003
212","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","28","3.705","64.3","17.9","3.6","3.6",".","3.6",".",".",".",".",".",".","7.1",".",".","."
"Ballet II","22
001","20","3.600","70.0","10.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","226
001","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","226
002","10","2.813","20.0","10.0","10.0",".","40.0",".",".","20.0",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","25","3.681","56.0","12.0","4.0",".","16.0",".",".","8.0",".",".",".",".","4.0",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment II","236
001","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","101","3.370","30.7","33.7","18.8","6.9","2.0","2.0","1.0","5.0",".",".",".",".",".",".",".","."
"","312
001","11","3.706","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 99 of 422"
