"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"489","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","071","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","38","3.967","92.1","5.3",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"492","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"492","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Additive Manufacturing","001","","26","3.731","53.8","42.3",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","15","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","27","3.556","37.0","37.0","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","001","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","046","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","46","3.936","93.5","4.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
