"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.467","60.0","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","002
100","16","3.469","43.8","37.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
003","16","3.156","25.0","31.3","25.0",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","100
004","16","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","15","3.333","60.0","13.3",".","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","100
009","16","3.469","18.8","56.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Science and Storytelling","Course Total","188","3.543","45.7","33.5","13.3","3.2","1.6","1.1","1.1",".",".",".",".",".","0.5",".",".","."
"Sci&Technology Newswriting","111
001","16","3.156","43.8","6.3","25.0",".","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","212
001","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","39","3.718","59.0","25.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","29","3.310","44.8","13.8","13.8","13.8","13.8",".",".",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","95","3.184","34.7","23.2","20.0","7.4","8.4","3.2","3.2",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","270
001","36","3.625","58.3","13.9","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","26","3.712","73.1","15.4",".","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Comm Science with Narrative","430
001","19","3.611","73.7","5.3",".","5.3","5.3","5.3",".",".",".",".",".",".","5.3",".",".","."
"Social Media for Life Sciences","432
001","55","3.736","61.8","27.3","9.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","24","3.729","70.8","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Ag Marketing NAMA","477
001","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","29","3.845","75.9","20.7",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","22","3.727","59.1","36.4",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","3","***","","","","","","","","","","","","","","","",""
"Colloq in Life Sci Communicatn","700
001","18","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Technology and Society","833
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","3","***","","","","","","","","","","","","","","","",""
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 5 of 422"
