"KINESIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","261","2.680","16.5","8.0","28.7","13.0","24.1","6.9","2.7",".",".",".",".",".",".",".",".","."
"","116
001","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","24","3.804","58.3","37.5",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","46","3.811","63.0","32.6","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","89","3.596","55.1","21.3","13.5","7.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"","125
001","24","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","8.3","4.2"
"","125
002","21","4.000","4.8",".",".",".",".",".",".","90.5",".",".",".",".",".",".","4.8","."
"","125
003","23","4.000","4.3",".",".",".",".",".",".","87.0",".",".",".",".",".",".","8.7","."
"","125
004","17","",".",".",".",".",".",".",".","88.2",".",".",".",".",".",".","11.8","."
"Adapted Fitness&Pers Traing","Course Total","85","4.000","2.4",".",".",".",".",".",".","88.2",".",".",".",".",".",".","8.2","1.2"
"Intro to Athletic Training","127
001","19","3.263","36.8","31.6","10.5",".","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","25","3.580","44.0","40.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Choosing To Move","145
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227
001","17","3.529","29.4","58.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Human Physiology and Health","235
001","36","2.819","16.7","2.8","41.7","11.1","25.0","2.8",".",".",".",".",".",".",".",".",".","."
"","300
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","58","3.957","94.8","1.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","84","3.963","96.4","1.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","63","3.167","15.9","25.4","46.0","4.8","6.3","1.6",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","49","3.429","28.6","49.0","6.1","12.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"","325
001","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","Course Total","50","3.970","96.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curr Topic-Outdoor Pursuits","327
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","180","3.215","37.8","20.6","13.3","13.3","8.9","5.6",".","0.6",".",".",".",".",".",".",".","."
"","328
002","166","3.109","29.5","19.3","21.1","14.5","9.6","4.8","0.6","0.6",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","346","3.164","33.8","19.9","17.1","13.9","9.2","5.2","0.3","0.6",".",".",".",".",".",".",".","."
"","329
001","25","3.360","36.0","24.0","24.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","329
002","24","3.125","37.5","12.5","25.0","4.2","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"","329
003","23","3.239","30.4","30.4","13.0","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","329
004","24","3.333","33.3","29.2","12.5","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","329
005","26","3.173","26.9","26.9","23.1","7.7","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"","329
006","25","3.380","36.0","28.0","20.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","329
007","22","3.136","36.4","13.6","9.1","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","008
329","23","3.370","43.5","30.4","4.3","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","192","3.266","34.9","24.5","16.7","12.0","9.4","2.6",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330
001","53","3.849","69.8","30.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","55","3.445","43.6","21.8","25.5","1.8","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 101 of 422",""
