"","990
027","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
030","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
054","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","26","",".",".",".",".",".",".","",".","88.5","3.8",".","",".","7.7",".",".",".","."
"POP HLTH
810","Dept. Total","1042","3.714","60.2","23.4","8.9","2.2","0.2","0.1","",".","2.5","0.1","0.7","",".","0.2","0.5",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.167","16.7","16.7","50.0","16.7",".",".","",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","67","3.642","53.7","26.9","14.9","3.0","1.5",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","180","3.574","45.6","31.7","16.1","6.1","0.6",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","262","3.689","55.3","31.3","10.3","1.9",".","0.4","",".","0.4",".",".","",".",".","0.4",".",".","."
"Undergraduates","","515","3.636","51.3","30.7","13.4","3.7","0.4","0.2","",".","0.2",".",".","",".",".","0.2",".",".","."
"Special","","18","3.659","61.1","5.6","16.7","5.6",".",".","",".","5.6",".",".","",".",".","5.6",".",".","."
"Graduate","","126","3.726","47.6","23.8","6.3","0.8",".",".","",".","16.7","0.8",".","",".","1.6","0.8",".","1.6","."
"Prof Yr 1","","50","4.000","70.0",".",".",".",".",".","",".",".",".","14.0","",".",".",".",".","16.0","."
"Prof Yr 2","","13","4.000","92.3",".",".",".",".",".","",".","7.7",".",".","",".",".",".",".",".","."
"Prof Yr 3","","16","4.000","100.0",".",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","304","3.838","75.3","18.1","4.3","0.7",".",".","",".","0.7",".",".","",".",".","0.7",".","0.3","."
"Professionals","","383","3.854","76.2","14.4","3.4","0.5",".",".","",".","0.8",".","1.8","",".",".","0.5",".","2.3","."
"","Dept. Total","1042","3.714","60.2","23.4","8.9","2.2","0.2","0.1","",".","2.5","0.1","0.7","",".","0.2","0.5",".","1.1","."
