"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","12","3.958","91.7","8.3",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","258","3.684","47.3","31.0","6.2","",".","",".","",".","",".","",".","",".","15.5","",".","",".",".",".",".","."
"Prof Yr 2","216","3.768","55.1","19.4","2.8","",".","",".","",".","",".","",".","",".","18.1","",".","",".","4.6",".",".","."
"Prof Yr 3","78","",".",".",".","",".","",".","",".","",".","",".","",".","97.4","",".","",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Professionals","554","3.723","43.5","22.0","4.0","",".","",".","",".","",".","",".","",".","28.3","",".","",".","1.8",".",".","."
