"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"171
Intro to Geological Engr","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","22","3.341","27.3","22.7","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"330
Soil Mechanics","002","","8","3.313","37.5","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro Geophysics:Dynmic  Earth","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Elementary Petrology","001","","10","2.950","10.0","30.0","40.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"401","001","","39","3.679","71.8","10.3","12.8","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"401","002","","33","3.652","60.6","27.3","3.0","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"401","003","","37","3.662","51.4","29.7","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Geological Engr","Course Total","","109","3.665","61.5","22.0","11.9","2.8",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"444
Pract Appl of GPS Surveying","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"455
Structural Geology","001","","21","3.262","33.3","14.3","38.1","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","002","","43","3.302","27.9","20.9","41.9","7.0",".","2.3",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","40","3.625","55.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Unsaturated Soil Geoengr","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
