"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","12","3.333","33.3","33.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","24","3.146","41.7","33.3","4.2","4.2","4.2",".","12.5",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic Science Fiction","207","001","","43","3.363","39.5","20.9","16.3","9.3","4.7",".","2.3",".",".",".",".",".","4.7",".","2.3","."
"Dostoevsky in Translation","222","001","","28","3.352","32.1","28.6","14.3","17.9","3.6",".",".",".",".",".",".",".",".","3.6",".","."
"Represnt-Jew in E Eurpn Cul","229","001","","13","3.115","30.8","7.7","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","28","3.372","46.4","14.3","25.0",".","7.1","3.6",".",".",".",".",".",".","3.6",".",".","."
"","236","001","","15","3.367","40.0","26.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","236","002","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","","Course Total","","34","3.603","52.9","29.4","11.8","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","241","001","","17","3.563","52.9","23.5","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","5.9"
"Topics-Slavic Lit in Translatn","247","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spanish Literature in Trans","252","001","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","","23","3.587","52.2","39.1",".",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","7","2.786","14.3","42.9","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","274","001","","24","3.275","12.5","41.7","33.3","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","274","002","","11","3.318","36.4","27.3","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","","Course Total","","35","3.291","20.0","37.1","31.4","2.9","2.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"","275","001","","59","3.441","32.2","44.1","10.2","6.8","6.8",".",".",".",".",".",".",".",".",".",".","."
"","275","002","","34","3.485","52.9","23.5","11.8","2.9","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"","275","003","","43","3.477","37.2","37.2","16.3","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"","275","004","","28","3.679","64.3","25.0","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","164","3.508","43.3","34.8","11.0","4.3","4.9","1.8",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276","001","","17","3.719","58.8","29.4",".",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","","45","3.867","75.6","22.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Woman in Scand Lit","343","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","67","3.167","11.9","37.3","31.3","6.0","3.0","4.5",".",".",".",".",".",".","3.0",".","3.0","."
"","410","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Memory and Literature","428","001","","10","3.750","60.0",".","20.0",".",".",".",".","10.0",".",".",".",".",".","10.0",".","."
