"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","43","3.849","81.4","11.6","2.3","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","42","3.881","83.3","9.5","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
004","43","3.733","72.1","18.6","4.7","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","128","3.820","78.9","13.3","4.7","2.3",".",".","0.8",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","116","3.535","43.1","31.9","16.4","3.4","4.3",".",".","0.9",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","201
001","51","3.686","62.7","17.6","15.7","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","120","3.858","87.5","5.0","3.3","1.7","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","87","3.791","80.5","8.0","5.7","1.1","2.3",".","1.1",".",".",".",".",".",".",".",".","1.1"
"Introduction to Retailing","257
001","126","3.766","73.0","15.9","7.1","2.4",".","1.6",".",".",".",".",".",".",".",".",".","."
"","275
001","75","3.295","28.0","34.7","14.7","12.0","5.3","2.7",".",".",".",".",".",".","1.3",".",".","1.3"
"","275
002","104","3.279","29.8","30.8","15.4","15.4","7.7","1.0",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","179","3.285","29.1","32.4","15.1","14.0","6.7","1.7",".",".",".",".",".",".","0.6",".",".","0.6"
"","321
001","44","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","43","3.872","83.7","11.6","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","321
003","44","3.791","84.1","4.5",".","4.5","2.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"","321
005","43","3.802","86.0",".","4.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","006
321","43","3.919","86.0","11.6","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","217","3.868","86.2","7.4","1.8","2.3","1.4","0.5",".","0.5",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","22","3.705","59.1","31.8","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","47","3.202","31.9","23.4","17.0","12.8","12.8","2.1",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
008","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","73","3.473","27.4","46.6","19.2","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","44","3.739","59.1","31.8","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","48","3.427","41.7","20.8","25.0","10.4",".","2.1",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","54","3.537","59.3","20.4","9.3","1.9","5.6","1.9","1.9",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","43","3.131","20.9","34.9","14.0","14.0","9.3","4.7",".",".",".",".",".",".",".",".",".","2.3"
"Consumer Science Internship","601
001","10","3.200","40.0","20.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","39","3.167","5.1","41.0","41.0","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","63","3.161","19.0","33.3","17.5","23.8","3.2",".","1.6","1.6",".",".",".",".",".",".",".","."
"","675
001","33","2.864",".","24.2","30.3","39.4","6.1",".",".",".",".",".",".",".",".",".",".","."
"","675
002","32","2.813","3.1","28.1","18.8","40.6","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","65","2.838","1.5","26.2","24.6","40.0","4.6","3.1",".",".",".",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
