"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Afro-Am Hist Since 1900","321","001","","15","3.167",".","73.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","","14","3.786","78.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"First World War","350","001","","84","3.477","28.6","32.1","7.1","8.3",".",".","1.2","21.4",".",".",".",".","1.2",".",".","."
"Seventeenth-Century Europe","351","001","","23","3.500","17.4","47.8","17.4",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","7","3.000","42.9",".","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"China and World War II in Asia","363","001","","34","3.477","32.4","14.7","11.8",".","2.9","2.9",".","35.3",".",".",".",".",".",".",".","."
"Science in America","394","001","","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","","33","3.645","48.5","27.3","15.2","3.0",".",".",".",".",".",".",".",".","3.0",".","3.0","."
"History of Russia","417","001","","44","3.450","18.2","25.0","25.0",".",".",".",".","27.3",".",".",".",".","2.3",".",".","2.3"
"History of Soviet Russia","419","002","","38","3.635","31.6","26.3","7.9","2.6",".",".",".","31.6",".",".",".",".",".",".",".","."
"US Military History Since 1899","428","001","","70","3.509","31.4","24.3","17.1","4.3","1.4",".",".","21.4",".",".",".",".",".",".",".","."
"History-Scand Since 1815","432","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","28","3.769","67.9","7.1","17.9",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","20","3.667","50.0","20.0","20.0",".",".",".",".","5.0",".",".",".",".","5.0",".",".","."
"American West Since 1850","462","001","","61","3.456","34.4","31.1","21.3","1.6","3.3","1.6",".","6.6",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Soc Hist 1914-Present","475","001","","23","3.675","43.5","30.4","13.0",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"American Indian History","490","001","","9","3.688","55.6","22.2",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","505","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History at Work","","Course Total","","15","3.868","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","600","002","","17","3.867","70.6","11.8","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","600","004","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","600","008","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","600","009","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","","86","3.823","70.9","17.4","5.8",".","1.2",".",".",".",".",".",".",".","4.7",".",".","."
"Historical Publishing","601","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","670","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 238 of 422",""
