"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","289","3.149","29.4","20.4","24.2","10.0","12.8","1.4","1.4",".",".",".",".",".","0.3",".",".","."
"","102
001","41","3.476","41.5","24.4","24.4","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"","102
002","37","3.514","40.5","27.0","27.0","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","38","3.618","44.7","39.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","26","3.346","38.5","23.1","26.9","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","142","3.500","41.5","28.9","21.8","6.3","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","7","3.941","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","23","3.979","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","001
303","219","3.263","42.5","16.9","18.3","7.3","9.6","5.0","0.5",".",".",".",".",".",".",".",".","."
"","304
001","35","3.300","28.6","20.0","40.0","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"","304
002","34","3.029","29.4","11.8","29.4","11.8","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"","003
304","34","3.212","29.4","11.8","38.2","5.9","11.8",".",".",".",".",".",".",".","2.9",".",".","."
"","004
304","39","3.282","30.8","15.4","46.2",".","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","142","3.209","29.6","14.8","38.7","5.6","8.5","1.4","0.7",".",".",".",".",".","0.7",".",".","."
"","305
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","48","3.958","93.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","50","2.844","20.0","18.0","22.0","16.0","10.0","4.0","6.0","2.0",".",".",".",".","2.0",".",".","."
"","375
002","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","75","3.071","34.7","21.3","17.3","10.7","6.7","2.7","4.0","1.3",".",".",".",".","1.3",".",".","."
"Environmental Microbiology","425
001","23","3.348","43.5","8.7","39.1",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","450
001","45","3.278","28.9","20.0","40.0","4.4","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","450
002","33","3.379","36.4","21.2","36.4",".","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","Course Total","78","3.321","32.1","20.5","38.5","2.6","3.8","2.6",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","56","2.902","28.6","19.6","10.7","14.3","17.9","3.6","5.4",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","10","3.250","50.0","30.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
002","48","3.188","41.7","8.3","29.2","4.2","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","27","3.833","74.1","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","25","3.680","60.0","16.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
551","30","3.750","63.3","23.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 10 of 422"
