"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"","799
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Public Affairs Seminar Series","802
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","26","3.596","38.5","46.2","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","827
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","","18","3.472","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","15","3.750","46.7","46.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","873
003","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","47","3.641","38.3","48.9","10.6",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Policy-Making Process","001
874","","30","3.883","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics-Pov, Inequal&Soc Pol","883
001","","15","3.923","73.3","13.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Nonprofit Leadership","887
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","26","3.800","61.5","30.8","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","974
001","","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","974
003","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","42","3.813","59.5","35.7",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
