"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Advanced Stagecraft","570
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design II","572
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Amer Drama & Theatre","578
001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts Stage Management","579
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","619
001","","12","3.667","75.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","619
003","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
004","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","619
007","","20","3.875","90.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","619
011","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619
012","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","77","3.816","83.1","10.4","3.9",".","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"","661
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Production Practicum","Course Total","","8","3.727","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Adv Theatre Hist-500bc-1700","731
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Design III","763
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","911
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaboratv Design&Tech Studio","970
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
