"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"691
Senior Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"701","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"799","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"830
Advanced Hist of Philosophy","001","","6","4.000","16.7",".",".",".",".",".",".","16.7",".",".",".",".","66.7",".",".","."
"941
Seminar-Ethics","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar-Philosophy of Mind","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","001","","7","4.000","42.9",".",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"960","002","","7","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Metaphysics Seminar","Course Total","","14","4.000","21.4",".",".",".",".",".",".",".",".",".",".",".","78.6",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".",".",".","."
"999","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
