"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","406
002","26","3.462","38.5","19.2","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","52","3.385","30.8","19.2","46.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","90","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","Course Total","107","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","107","3.808","64.5","33.6","0.9","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","34","3.136","20.6","14.7","35.3","23.5","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"","620
002","37","3.250","21.6","27.0","27.0","21.6",".",".",".","2.7",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","71","3.196","21.1","21.1","31.0","22.5","1.4",".",".","1.4",".",".",".",".","1.4",".",".","."
"Corporate & Advanced Taxation","621
001","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","36","3.319","27.8","27.8","25.0","19.4",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","32","3.438","37.5","25.0","28.1","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","68","3.375","32.4","26.5","26.5","13.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"","631
001","24","3.396","20.8","37.5","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","25","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
003","15","3.467","40.0","13.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","64","3.492","32.8","32.8","34.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","18","3.361","27.8","16.7","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","23","3.478","34.8","26.1","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","41","3.427","31.7","22.0","46.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
031","40","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","21","3.310","19.0","42.9","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Corporate Taxation","726
001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","30","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","32","3.726","62.5","18.8","12.5","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","62","3.762","66.1","19.4","11.3","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
