"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News","133","001","56","3.446","41.1","16.1","35.7","5.4","1.8",".",".",".",".",".",".",".",".",".",".","."
"","299","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","093","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","126","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","127","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","140","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","25","3.963","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Genetics","466","001","221","3.236","38.5","10.4","32.1","5.0","10.4","2.3","0.9",".",".",".",".",".",".",".","0.5","."
"General Genetics 2","468","001","76","2.760","22.4","10.5","30.3","7.9","14.5","6.6","6.6","1.3",".",".",".",".",".",".",".","."
"Advanced Laboratory Procedures","471","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","545","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt","550","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Cytogenetics","562","001","21","2.905","14.3","23.8","28.6","23.8",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Genomics & Proteomics","564","001","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Genetics","566","001","58","3.672","58.6","17.2","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Central Nervous System","568","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast","569","001","10","3.050","10.0","10.0","70.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"The Gastrointestinal System","574","001","10","3.050","10.0","20.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Miscellaneous Systems","575","001","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Effusions","576","001","10","3.150","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","577","001","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607","001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eukaryotic Molecular Biology","620","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Molecular Ecology","624","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomic Science","626","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Developmental Genetics","627","001","42","3.762","73.8","11.9","9.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Genomics","660","001","30","3.183","36.7","6.7","26.7","16.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","670","001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","672","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Clinical Cytology","673","001","10","3.438","50.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".","20.0",".",".","."
"Advanced Topics in Genetics","677","019","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 25 of 422"
