"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Study","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","64","3.008","20.3","15.6","32.8","17.2","10.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","51","3.765","60.8","35.3","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","143","3.343","23.8","44.1","18.9","9.1","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","62","3.032","17.7","17.7","46.8","8.1","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","59","3.492","39.0","35.6","15.3","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","67","3.388","20.9","41.8","32.8","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","22","3.545","50.0","18.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"471
Capstone Project II","001","","36","3.694","75.0","8.3","2.8","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Structure of Materials","001","","31","3.435","25.8","41.9","25.8","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"553
Nanomaterials & Nanotechnology","001","","45","3.678","57.8","24.4","15.6",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"560
Fundamentls-Atomistic Modeling","001","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","42.9","."
"760
Mol Dynamics&Monte Carlo Sims","001","","22","3.975","86.4","4.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"790","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","43","",".",".",".",".",".",".",".","67.4",".",".",".","32.6",".",".",".","."
"803","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
