"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","383
001","74","3.257","29.7","14.9","37.8","12.2","5.4",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","384
001","14","3.357","35.7","7.1","50.0","7.1",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
002","20","3.350","40.0","5.0","45.0","5.0","5.0",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
003","17","3.471","41.2","11.8","47.1",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","384
004","16","3.219","18.8","6.3","75.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Cellular Biology Laboratory","Course Total","67","3.351","34.3","7.5","53.7","3.0","1.5",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Biological Interactions","587
001","82","3.280","31.7","14.6","43.9","2.4","4.9","2.4",".","",".","",".","",".",".","",".","",".","",".",".","."
"BIOCORE
206","Dept. Total","223","3.287","31.8","12.6","44.8","5.8","4.0","0.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","19","3.223","26.3","5.3","57.9","10.5",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","84","3.181","27.4","10.7","46.4","8.3","6.0","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","120","3.364","35.8","15.0","41.7","3.3","3.3","0.8","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","223","3.287","31.8","12.6","44.8","5.8","4.0","0.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","223","3.287","31.8","12.6","44.8","5.8","4.0","0.9","",".","",".","",".",".","",".","",".","",".",".",".","."
