"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","67","2.709","11.9","7.5","37.3","14.9","20.9","6.0","1.5",".",".",".",".",".",".",".",".","."
"","102
001","64","3.813","81.3","10.9","3.1","1.6","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"","102
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Comparatv Ethnic Studies","Course Total","65","3.813","80.0","10.8","3.1","1.5","1.5","1.5",".","1.5",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","24","3.521","37.5","50.0","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","227","3.780","69.2","22.9","5.3","0.9","1.3","0.4",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","240
001","33","3.803","69.7","27.3",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Migrations since 1500","276
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics","560
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Study:Directed Readings","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","487","3.648","61.0","20.9","9.4","2.9","3.9","1.4","0.2","0.2",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","107","3.725","61.7","29.0","3.7","1.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","187","3.670","65.8","16.6","9.1","2.7","3.2","2.7",".",".",".",".",".",".",".",".",".","."
"Junior","","88","3.665","61.4","18.2","15.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Senior","","103","3.489","51.5","23.3","10.7","6.8","4.9","1.9","1.0",".",".",".",".",".",".",".",".","."
"Undergraduates","","485","3.647","61.0","21.0","9.5","2.9","3.9","1.4","0.2",".",".",".",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","487","3.648","61.0","20.9","9.4","2.9","3.9","1.4","0.2","0.2",".",".",".",".",".",".",".","."
