"GENERAL BUSINESS","","","","","","","","","","","","","","","","","","","","",""
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"","765
031","40","3.875","80.0","17.5",".","2.5",".",".",".",".",".","",".",".",".","",".",".",".","."
"","765
031","37","3.865","73.0","27.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"","Section Total","77","3.870","76.6","22.1",".","1.3",".",".",".",".","",".",".",".","",".",".",".",".","."
"Contemporary Topics","Course Total","186","3.731","44.1","52.7","2.7","0.5",".",".",".",".","",".",".",".","",".",".",".",".","."
"GEN BUS
231","Dept. Total","2417","3.375","33.8","30.2","19.9","10.3","4.0","0.5","0.3","0.4","",".","0.3","0.0","",".","0.0",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Sophomore","","296","3.260","33.1","23.6","20.9","12.2","8.4","0.7","1.0",".","",".",".",".","",".",".",".",".","."
"Junior","","878","3.441","38.2","28.8","19.5","9.5","3.6","0.1",".","0.1","",".","0.1",".","",".","0.1",".",".","."
"Senior","","955","3.278","25.1","30.5","24.6","13.3","3.8","0.8","0.3","0.8","",".","0.6",".","",".",".",".",".","."
"Undergraduates","","2132","3.342","31.6","28.8","22.1","11.5","4.4","0.5","0.3","0.4","",".","0.3",".","",".","0.0",".",".","."
"Special","","16","2.893","31.3","12.5","6.3","6.3","25.0",".","6.3",".","",".",".",".","",".",".",".","12.5","."
"Graduate","","267","3.728","52.1","42.3","3.4","1.1",".",".","0.4",".","",".","0.4","0.4","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","2417","3.375","33.8","30.2","19.9","10.3","4.0","0.5","0.3","0.4","",".","0.3","0.0","",".","0.0",".","0.1","."
