"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","18","3.306","22.2","27.8","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.636","59.1","22.7","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","006
101","16","3.367","25.0","43.8","6.3","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
008","22","3.738","45.5","50.0",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","101
011","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","91","3.556","41.8","36.3","11.0","6.6","2.2",".",".","1.1",".",".",".",".","1.1",".",".","."
"","002
102","23","3.786","56.5","30.4","4.3",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","102
003","21","3.690","57.1","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","25","3.360","36.0","36.0","12.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","007
102","21","3.310","28.6","33.3","33.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","102
009","16","3.533","31.3","37.5","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","106","3.529","42.5","33.0","16.0","1.9","1.9","0.9","0.9","2.8",".",".",".",".",".",".",".","."
"","203
002","11","3.500","27.3","63.6",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
203","15","3.000","26.7","26.7","13.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.324","29.4","29.4","17.6","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","43","3.256","27.9","37.2","11.6","14.0","4.7","4.7",".",".",".",".",".",".",".",".",".","."
"","002
204","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","8","2.875","12.5","50.0","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","006
204","17","2.824",".","35.3","35.3","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","204
007","15","3.300","6.7","60.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","49","3.102","10.2","44.9","26.5","8.2","6.1",".","4.1",".",".",".",".",".",".",".",".","."
"","228
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
228","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
011","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
228","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","228
013","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
014","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","75","3.556","41.3","29.3","26.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","18","3.806","77.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","271
012","11","3.409","54.5","27.3",".",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","271
013","18","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","60","3.663","63.3","21.7","3.3","6.7","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","302
001","24","3.952","79.2","8.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
002","27","3.722","55.6","37.0","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","30","3.533","33.3","46.7","16.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","22","3.571","50.0","27.3","13.6",".",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"Intro to Lit of Modernity","322
001","25","3.820","72.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","22","3.619","59.1","18.2","13.6",".",".","4.5",".",".",".",".",".",".",".",".","4.5","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 223 of 422",""
