"FINANCE, INVESTMENT & BANKI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","765","031","","40","3.738","62.5","22.5","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","","Course Total","","3","***","","","","","","","","","","","","","","","",""
