"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","135","3.816","54.1","12.6","3.7","",".","0.7","",".","",".","25.9","",".",".","",".","2.2","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","6","3.667","66.7",".","33.3","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","50","3.888","88.0","4.0","6.0","",".","2.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","57","3.868","86.0","3.5","8.8","",".","1.8","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","74","3.738","29.7","20.3",".","",".",".","",".","",".","44.6","",".",".","",".","4.1","",".",".","1.4","."
"Prof Yr 4","","4","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","4","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","135","3.816","54.1","12.6","3.7","",".","0.7","",".","",".","25.9","",".",".","",".","2.2","",".",".","0.7","."
