"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","4","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Prof Yr 1","","4","***","","","","","","","","","","75.0",".",".",".",".","25.0","."
"Prof Yr 2","","13","",".",".",".",".",".",".",".",".",".","84.6",".",".",".",".","15.4","."
"Prof Yr 3","","2","***","","","","","","","","","",".",".",".",".",".","50.0","."
"Prof Yr 4","","26","3.896","50.0","7.7","3.8",".",".",".",".",".",".","19.2",".",".",".",".","19.2","."
"Professionals","","45","3.900","31.1","4.4","2.2",".",".",".",".",".",".","42.2",".",".",".",".","20.0","."
