"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"M S & E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","46","3.173","10.9","45.7","32.6","6.5",".",".","4.3",".",".",".","",".",".",".",".",".","."
"Junior","","155","3.277","24.5","34.8","25.2","8.4","6.5",".","0.6",".",".",".","",".",".",".",".",".","."
"Senior","","358","3.475","44.7","26.0","18.7","6.4","2.8","0.8","0.6",".",".",".","",".",".",".",".",".","."
"Undergraduates","","560","3.396","36.3","30.2","21.6","7.0","3.6","0.5","0.9",".",".",".","",".",".",".",".",".","."
"Special","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","237","3.761","34.2","7.6","4.2","0.8","0.4",".",".","27.8","0.4","9.3","",".","12.2","1.3",".","1.3","."
"","Dept. Total","805","3.457","35.9","23.4","16.5","5.1","2.6","0.4","0.6","8.2","0.1","2.7","",".","3.6","0.4",".","0.4","."
