"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100
Biochemistry Freshman Seminar","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","40","3.984","92.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"501
Introduction-Biochemistry","001","","546","2.994","29.9","14.7","18.3","12.1","18.9","4.2","1.5","0.2",".",".",".",".","0.2",".","0.2","."
"508
General Biochemistry II","001","","165","2.909","13.3","16.4","31.5","15.8","16.4","3.0",".","0.6",".",".",".",".","1.2",".","0.6","1.2"
"510
Biochm Prin-Human&Anml Nutr","001","","57","3.325","45.6","10.5","22.8","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","48","3.354","37.5","8.3","47.9",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"551
Biochemical Methods","001","","91","3.250","24.2","30.8","25.3","12.1","4.4","2.2",".","1.1",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","50","2.771","20.0","10.0","26.0","10.0","22.0","4.0","4.0","2.0",".",".",".",".","2.0",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","51","3.343","23.5","31.4","35.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"621
Plant Biochemistry","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Coenzymes&Cofactors-Enzymology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","039","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 13 of 422"
