"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","10","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","15","3.939","93.3",".","6.7","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","26","3.966","96.2",".","3.8","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","6","4.000","16.7",".",".","",".","",".","",".","",".","83.3","",".",".","",".",".","",".",".",".","."
"Graduate","","95","3.829","27.4","3.2","2.1","",".","",".","",".","",".","63.2","",".",".","",".","4.2","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
