"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","8","3.667","75.0","12.5","12.5",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","152","3.615","58.6","21.7","15.8","3.3","0.7",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","558","3.526","51.3","27.6","14.7","5.0","0.7","0.2","0.2","0.2","",".",".","",".",".","0.2",".",".","."
"Undergraduates","719","3.548","53.1","26.1","14.9","4.6","0.7","0.1","0.1","0.1","",".",".","",".",".","0.1",".",".","."
"Special","4","***","","","","","","","","","","",".","25.0","",".",".",".",".","."
"Graduate","218","3.728","30.7","11.5","5.0","1.4",".",".",".","22.5","",".","17.0","",".","11.5",".",".","0.5","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
