"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"","300
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","50","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","44","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","85","3.965","95.3","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","45","3.411","40.0","26.7","17.8","11.1","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","303
002","46","2.933","17.4","26.1","21.7","17.4","6.5","4.3","4.3","2.2",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","91","3.172","28.6","26.4","19.8","14.3","4.4","3.3","2.2","1.1",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","651
001","17","2.912","29.4","17.6","29.4",".","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"Loss Models I","652
001","23","3.022","30.4","8.7","34.8","4.3","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","653
001","14","3.179","21.4","35.7","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","653
002","56","3.277","28.6","35.7","16.1","12.5","3.6","1.8","1.8",".",".",".",".",".",".",".",".","."
"","653
003","32","3.188","25.0","34.4","12.5","21.9","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Loss Models II","Course Total","102","3.235","26.5","35.3","14.7","15.7","4.9","1.0","2.0",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
002","34","3.529","41.2","32.4","17.6","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Health Analytics","655
001","25","3.480","32.0","36.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","427","3.332","50.1","20.8","14.8","8.0","3.5","0.9","1.6","0.2",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Sophomore","","114","3.356","62.3","13.2","13.2","5.3","3.5","1.8","0.9",".",".",".",".",".",".",".",".","."
"Junior","","109","3.453","64.2","15.6","9.2","9.2","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"Senior","","187","3.322","34.8","29.9","19.3","8.6","4.8","0.5","1.6","0.5",".",".",".",".",".",".",".","."
"Undergraduates","","410","3.358","50.2","21.5","14.9","7.8","3.4","0.7","1.2","0.2",".",".",".",".",".",".",".","."
"Special","","14","2.539","35.7","7.1","14.3","14.3","7.1","7.1","14.3",".",".",".",".",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","427","3.332","50.1","20.8","14.8","8.0","3.5","0.9","1.6","0.2",".",".",".",".",".",".",".","."
