"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","088","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","120","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","194","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"990","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","68","",".",".",".",".",".",".",".","70.6",".",".",".","29.4",".",".",".","."
"992","001","","24","3.826","79.2",".","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"992","002","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Seminar","Course Total","","32","3.867","81.3",".","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
