"INTEGRATED LIBERAL STUDIES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126","001","","16","3.188","25.0","18.8","37.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing in Sciences","153","001","","17","3.469","35.3","23.5","29.4","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","157","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157","005","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","006","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","008","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bradley Roundtable Seminar","","Course Total","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Critical Thinkng & Expressn","200","001","","79","3.766","63.3","31.6","1.3","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202","001","","76","3.730","67.1","21.1","9.2","1.3",".",".","1.3",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204","001","","30","3.483","60.0","10.0","16.7","3.3",".","3.3","3.3","3.3",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206","001","","51","3.426","37.3","37.3","5.9","2.0","5.9","2.0","2.0",".",".",".",".",".",".",".","7.8","."
"Genres-Westrn Relig Writing","234","001","","10","3.250","20.0","40.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","15","3.600","73.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","275","002","","43","3.536","62.8","23.3","2.3","2.3",".",".","7.0","2.3",".",".",".",".",".",".",".","."
"Special Topics in ILS","","Course Total","","58","3.553","65.5","20.7","3.4","1.7",".",".","6.9","1.7",".",".",".",".",".",".",".","."
"Peer Mentor Seminar","357","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","001","","11","3.273","27.3","18.2","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","003","","13","3.542","15.4","69.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Interdis in Arts & Humanities","","Course Total","","33","3.484","30.3","39.4","21.2","6.1",".",".",".",".",".",".",".",".","3.0",".",".","."
"Interdis Studies-Soc Sciences","372","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400","001","","6","3.600","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
