"","999
009","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
010","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
011","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Work","Course Total","6","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"ECON
296","Dept. Total","4635","3.140","27.1","22.7","22.6","14.1","8.6","2.1","0.9","1.3","",".","0.0","",".","",".","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","369","2.878","9.8","20.9","28.7","25.7","11.7","1.9","1.4",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","1055","3.111","23.5","25.2","22.3","14.6","10.5","2.7","0.7",".","",".",".","",".","",".","0.4","0.1",".","."
"Junior","","1215","3.034","20.5","21.9","23.9","18.7","11.2","2.6","0.7",".","",".",".","",".","",".","0.6",".",".","."
"Senior","","1233","3.135","26.0","23.0","24.6","13.8","8.4","2.2","1.1","0.5","",".","0.1","",".","",".","0.3","0.1","0.1","."
"Undergraduates","","3872","3.071","22.0","23.1","24.1","16.7","10.1","2.4","0.9","0.2","",".","0.0","",".","",".","0.4","0.1","0.0","."
"Special","","87","3.179","42.5","19.5","16.1","2.3","2.3","4.6","6.9","2.3","",".",".","",".","",".",".","1.1","2.3","."
"Graduate","","674","3.685","53.9","21.2","15.0","1.0","0.4",".","0.1","7.9","",".",".","",".","",".","0.3",".","0.1","."
"Prof Yr 4","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","4635","3.140","27.1","22.7","22.6","14.1","8.6","2.1","0.9","1.3","",".","0.0","",".","",".","0.4","0.1","0.1","."
