"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","22","3.750","86.4","4.5","9.1",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","26","3.508","53.8","15.4","26.9","3.8",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","237","3.452","49.8","19.8","23.2","4.6","0.4","1.7","0.4",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","292","3.478","54.1","17.8","21.9","4.1","0.3","1.4","0.3",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","30","3.767","50.0","3.3","13.3",".",".",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","323","3.499","53.9","16.4","21.1","3.7","0.3","1.2","0.3","3.1","",".",".","",".","",".","",".",".",".","."
