"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","36","2.861","16.7","8.3","38.9","13.9","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","100
002","37","2.811","21.6","8.1","29.7","8.1","24.3","8.1",".",".",".",".",".",".",".",".",".","."
"","100
003","40","2.897","15.0","20.0","32.5","5.0","17.5","7.5",".","2.5",".",".",".",".",".",".",".","."
"","100
004","29","2.741","6.9","20.7","31.0","10.3","24.1","6.9",".",".",".",".",".",".",".",".",".","."
"","100
005","36","3.167","30.6","11.1","36.1","11.1","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"","100
006","35","2.912","17.1","8.6","37.1","14.3","17.1","2.9",".",".",".",".",".",".","2.9",".",".","."
"Intro Financial Accounting","Course Total","213","2.903","18.3","12.7","34.3","10.3","17.8","5.6",".","0.5",".",".",".",".","0.5",".",".","."
"","211
001","20","3.175","35.0","20.0","15.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","002
211","27","3.278","29.6","22.2","25.9","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"","211
003","28","3.250","32.1","25.0","21.4","10.7","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"","004
211","26","3.019","19.2","15.4","42.3","3.8","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"","005
211","22","3.159","22.7","18.2","40.9","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","211
006","20","2.775","15.0","5.0","40.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","211
007","12","2.750","8.3","33.3","25.0",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","008
211","9","2.944","33.3",".","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","211
010","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","211
011","19","2.868","21.1",".","42.1","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","211
012","16","2.656",".","12.5","37.5","18.8","31.3",".",".",".",".",".",".",".",".",".",".","."
"","211
013","27","2.778","7.4","22.2","29.6","7.4","29.6","3.7",".",".",".",".",".",".",".",".",".","."
"","014
211","24","3.022","12.5","20.8","33.3","16.7","12.5",".",".","4.2",".",".",".",".",".",".",".","."
"","015
211","27","3.315","37.0","18.5","25.9","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","211
016","27","2.944","18.5","14.8","29.6","11.1","25.9",".",".",".",".",".",".",".",".",".",".","."
"","211
017","26","2.731","23.1","7.7","34.6",".","19.2","11.5","3.8",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","339","3.010","21.8","16.8","31.0","10.0","16.2","3.5","0.3","0.3",".",".",".",".",".",".",".","."
"","300
001","133","3.344","28.6","33.8","22.6","3.8","5.3","1.5","0.8","0.8",".",".",".",".","0.8",".","1.5","0.8"
"","300
002","24","3.125","20.8","8.3","50.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","157","3.309","27.4","29.9","26.8","5.7","5.1","1.3","0.6","0.6",".",".",".",".","0.6",".","1.3","0.6"
"","001
301","33","3.273","24.2","24.2","33.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","32","3.141","18.8","21.9","37.5","18.8",".","3.1",".",".",".",".",".",".",".",".",".","."
"","301
003","30","3.250","23.3","26.7","26.7","23.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","32","3.266","21.9","43.8","15.6","9.4","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","301
005","34","3.265","26.5","32.4","26.5","8.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"","301
006","37","3.081","10.8","27.0","37.8","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"","301
007","40","3.363","37.5","15.0","32.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","238","3.235","23.5","26.9","30.3","15.1","2.5","1.7",".",".",".",".",".",".",".",".",".","."
"","302
001","15","3.300","20.0","26.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","16","3.250","31.3","31.3","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","003
302","11","3.273","27.3","27.3","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","42","3.274","26.2","28.6","31.0","11.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"","310
001","24","3.063","37.5","16.7","25.0","4.2","4.2","4.2","8.3",".",".",".",".",".",".",".",".","."
"","310
002","21","3.357","38.1","28.6","19.0","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","310
003","20","3.125","30.0","5.0","45.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","65","3.177","35.4","16.9","29.2","6.2","4.6","4.6","3.1",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","38","3.039","23.7","21.1","21.1","13.2","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"","406
001","26","3.308","23.1","19.2","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 52 of 422"
