"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","194","2.796","13.4","18.6","32.0","9.8","17.5","5.7","3.1",".",".",".",".",".",".",".",".","."
"","002
201","199","2.854","20.1","16.6","32.2","6.5","12.1","8.5","3.5",".",".",".",".",".","0.5",".",".","."
"","201
303","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statics","Course Total","394","2.823","16.8","17.5","32.0","8.1","15.0","7.1","3.3",".",".",".",".",".","0.3",".",".","."
"Dynamics","202
001","109","2.889","10.1","16.5","41.3","16.5","9.2","4.6","0.9",".",".",".",".",".","0.9",".",".","."
"Mechanics of Materials","303
001","115","2.648","8.7","14.8","17.4","40.0","10.4","5.2","3.5",".",".",".",".",".",".",".",".","."
"","307
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","9","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","9","3.500","55.6","33.3",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","307
011","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","10","3.300","20.0","50.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","307
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","89","3.539","43.8","36.0","14.6","2.2","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","30","3.817","70.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
002","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
003","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","Course Total","31","3.855","80.6","9.7","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","001
519","14","3.143","28.6","21.4","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","17","3.324",".","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","62","2.877","29.0","17.7","12.9",".","30.6","4.8","3.2",".","1.6",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","40","2.738","12.5","15.0","20.0","22.5","27.5",".","2.5",".",".",".",".",".",".",".",".","."
"","569
001","36","3.056","27.8","8.3","30.6","19.4","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"","569
002","15","3.367","33.3","13.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","Course Total","51","3.147","29.4","9.8","35.3","15.7","7.8","2.0",".",".",".",".",".",".",".",".",".","."
"","599
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
002","8","3.500","37.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"FEM Model Validation","001
610","16","3.533","56.3","25.0","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","19","3.526","63.2","10.5","21.1",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","7","3.250","42.9","14.3",".",".","28.6",".",".","14.3",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","47","2.298","12.8","6.4","21.3","14.9","17.0","21.3","6.4",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 126 of 422",""
