"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"489","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","12","3.455","25.0","41.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"545
Engr Extracellular Matrices","001","","37","3.500","37.8","27.0","27.0","5.4",".",".",".",".",".",".",".",".",".",".","2.7","."
"556
Systems Biology: Mamm Sign Net","001","","27","3.346","37.0","33.3","11.1","3.7","7.4",".","3.7","3.7",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","38","3.816","78.9","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"578
NonIonizing Diagnostic Imaging","001","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","23","3.914","78.3","13.0","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","16","3.469","18.8","62.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","133","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","14","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
