"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","123","3.866","81.3","12.2","4.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","123","3.877","82.1","12.2","3.3","0.8","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"How People Learn","Course Total","246","3.871","81.7","12.2","4.1","1.2","0.4",".",".","0.4",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","176","3.538","55.1","21.6","9.1","6.8","2.8","1.7","1.1",".",".",".",".",".","1.1",".",".","0.6"
"","321
001","111","3.495","36.0","35.1","20.7","4.5","0.9","0.9",".",".",".",".",".",".","1.8",".",".","."
"","321
002","115","3.761","78.3","7.0","7.0",".","5.2","0.9",".",".",".",".",".",".","1.7",".",".","."
"Human Develop-Adolescence","Course Total","226","3.631","57.5","20.8","13.7","2.2","3.1","0.9",".",".",".",".",".",".","1.8",".",".","."
"Mind, Brain and Education","326
001","101","3.802","69.3","24.8","4.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","81","3.537","46.9","28.4","14.8","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"","470
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","17","3.900","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","42","3.956","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","506
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Seminar-Research in Ed Psyc II","710
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","711
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnic/Racial Social Dev","726
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research","743
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","40","3.838","75.0","17.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","60","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","21","3.800","57.1","38.1",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"MSPE Capstone","791
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 95 of 422"
