"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"110
Animal Handling","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"150
Career Orientation An/Poul Sci","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","116","3.228","37.1","19.0","14.7","16.4","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","22.2","."
"305
Intro-Meat Sci & Technology","001","","36","2.931","19.4","11.1","36.1","8.3","22.2","2.8",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","54","3.009","18.5","25.9","16.7","24.1","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"313
Animal Feeds&Diet Formulatn","001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","35","2.943","22.9","8.6","37.1","8.6","20.0",".","2.9",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","26","3.135","30.8","7.7","42.3","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","8","2.875","12.5","25.0","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","36","3.250","36.1","25.0","16.7","2.8","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"375","002","","38","3.237","39.5","7.9","28.9","13.2","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"375","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","48","3.298","52.1","6.3","22.9","10.4","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"432
Swine Production","001","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","12","2.833","8.3","41.7",".","8.3","41.7",".",".",".",".",".",".",".",".",".",".","."
"521","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"521","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honor Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 34 of 422"
