"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Religion in Global Perspective","101","001","114","3.119","9.6","42.1","28.1","11.4","5.3",".","2.6",".",".",".",".",".",".","0.9",".","."
"Consuming Happiness","173","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","12","3.000","16.7","33.3","16.7",".","16.7","8.3",".",".",".",".",".",".","8.3",".",".","."
"Genres-Asian Religious Writing","235","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","22","3.136","45.5","22.7","13.6","4.5",".",".","13.6",".",".",".",".",".",".",".",".","."
"Myth","359","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","52","3.564","17.3","67.3","5.8",".",".",".",".","9.6",".",".",".",".",".",".",".","."
"","400","001","20","3.400","20.0","50.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","400","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","003","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","37","3.595","45.9","32.4","18.9",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Thought","466","001","10","3.350","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Res & Colloq","601","001","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","9","3.611","66.7","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
