"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","254","3.063","19.7","24.8","20.9","22.4","10.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","103
002","189","3.064","19.6","24.3","20.6","18.0","16.4",".",".","0.5",".",".",".",".","0.5",".",".","."
"General Physics","Course Total","443","3.063","19.6","24.6","20.8","20.5","13.1","0.5","0.5","0.2",".",".",".",".","0.2",".",".","."
"","104
001","336","3.051","26.2","16.7","20.8","17.3","17.6","1.2","0.3",".",".",".",".",".",".",".",".","."
"","002
104","306","2.951","20.6","14.7","23.2","21.2","18.0","1.6","0.3",".",".",".",".",".",".","0.3",".","."
"General Physics","Course Total","642","3.003","23.5","15.7","22.0","19.2","17.8","1.4","0.3",".",".",".",".",".",".","0.2",".","."
"Ideas of Modern Physics","107
001","39","3.338","35.9","15.4","33.3","7.7",".",".","2.6",".",".",".",".",".",".","5.1",".","."
"","109
001","134","3.530","47.8","23.1","20.1","5.2","3.7",".",".",".",".",".",".",".",".",".",".","."
"","109
002","88","3.511","46.6","20.5","25.0","4.5","3.4",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","222","3.523","47.3","22.1","22.1","5.0","3.6",".",".",".",".",".",".",".",".",".",".","."
"Energy","001
115","87","3.374","50.6","6.9","32.2","3.4","2.3","1.1","3.4",".",".",".",".",".",".",".",".","."
"General Physics","201
001","291","2.894","18.6","19.6","16.8","19.9","19.6","4.1","0.3","0.3",".",".",".",".","0.7",".",".","."
"","202
001","120","3.000","16.7","23.3","24.2","20.0","13.3","2.5",".",".",".",".",".",".",".",".",".","."
"","002
202","289","3.075","20.8","19.7","26.6","18.7","13.8",".",".",".",".",".",".",".","0.3",".",".","."
"General Physics","Course Total","409","3.053","19.6","20.8","25.9","19.1","13.7","0.7",".",".",".",".",".",".","0.2",".",".","."
"Mod Physics for Engineers","205
001","39","3.105","28.2","17.9","25.6","2.6","20.5","2.6",".","2.6",".",".",".",".",".",".",".","."
"Special Topics in Physics","206
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","163","3.056","24.5","9.8","35.0","17.2","9.2","3.1",".",".",".",".",".",".","0.6",".",".","0.6"
"General Physics","208
001","283","3.149","21.2","23.0","32.2","15.9","4.9","2.5",".",".",".",".",".",".",".","0.4",".","."
"Intro-Solid State Electronics","235
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","37","2.905","24.3","2.7","18.9","43.2","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","47","3.234","31.9","21.3","23.4","17.0","2.1","4.3",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301
001","38","3.871","71.1","18.4","2.6",".",".",".",".",".",".",".",".",".",".","7.9",".","."
"","308
001","25","3.560","36.0","56.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","308
002","31","3.565","67.7","19.4",".","3.2","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","56","3.563","53.6","35.7","1.8","1.8","1.8","3.6","1.8",".",".",".",".",".",".",".",".","."
"Mechanics","001
311","64","2.938","7.8","26.6","31.3","23.4","6.3","4.7",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","61","3.123","31.1","11.5","34.4","3.3","16.4","3.3",".",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","21","3.071","14.3","38.1","28.6","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","407
001","10","3.150","20.0","10.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","407
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","407
003","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","21","3.212","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","001
415","26","3.250","38.5","11.5","19.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","30","3.190","36.7","16.7","10.0","20.0","10.0","3.3",".","3.3",".",".",".",".",".",".",".","."
"Directed Study","498
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
