"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Evidence","801
001","","74","1.407","12.2",".","16.2",".","2.7",".",".","27.0",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","","41","1.289","12.2",".","22.0",".","2.4",".",".","7.3",".",".",".",".",".",".",".","."
"","808
001","","16","1.375","6.3",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","","13","1.000","7.7",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","","29","1.207","6.9",".","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","","72","1.057","11.1",".","16.7",".","4.2",".",".","2.8",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","","16","1.750","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","","16","1.308","12.5",".","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","","27","1.038",".",".","33.3",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","48","1.220","8.3",".","20.8",".","4.2",".",".","14.6",".",".",".",".",".",".",".","."
"International Law","827
001","","29","1.536","13.8",".","31.0",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"International Transactions","828
001","","24","1.500","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","8","0.375",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","21","0.800","9.5",".","9.5",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","849
001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","002
849","","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","33.3"
"Pre-Trial Advocacy","Course Total","","22","",".",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","9.1"
"","850
001","","28","1.444","14.3",".","25.0",".","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"","002
850","","22","1.238","13.6",".","18.2",".","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"","003
850","","22","1.455","9.1",".","27.3",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","72","1.378","12.5",".","23.6",".","6.9",".",".","1.4",".",".",".",".",".",".","1.4","."
"","852
001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","57","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","23","",".",".",".",".",".",".",".","78.3","4.3",".",".",".",".",".",".","17.4"
"","854
006","","20","",".",".",".",".",".",".",".","95.0",".",".",".",".","5.0",".",".","."
"","854
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
009","","6","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","50.0"
