"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","304","2.988","14.8","23.0","25.7","18.1","14.8","1.3","0.3","1.0",".",".",".",".","0.7","0.3",".","."
"Intro-Amer Politcs&Governmt","104","001","284","3.011","14.1","19.7","31.3","21.1","12.3",".",".","1.4",".",".",".",".",".",".",".","."
"Politics Around the World","106","001","130","3.095","23.8","27.7","22.3","7.7","10.0","1.5","3.8","0.8",".",".",".",".",".","0.8","1.5","."
"Research Methods in Poli Sci","200","001","51","3.422","27.5","49.0","15.7",".","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","52","3.320","23.1","36.5","23.1","9.6","1.9","1.9",".","3.8",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","162","3.694","58.6","27.8","8.6","3.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","18","3.167","22.2","27.8","33.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","218","001","45","3.186","37.8","15.6","17.8","15.6","2.2","2.2","4.4",".",".",".",".",".",".","2.2",".","2.2"
"Politcs:Multi-Cultural Soc","231","001","49","3.520","46.9","28.6","16.3","6.1",".",".","2.0",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","49","3.714","69.4","12.2","12.2","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","10","3.250","50.0","20.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","23","3.457","34.8","34.8","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","30","3.167","26.7","40.0","20.0",".","3.3","3.3","6.7",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","115","3.157","27.0","27.8","20.0","10.4","10.4","3.5","0.9",".",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","337","001","49","3.133","10.2","38.8","26.5","16.3","8.2",".",".",".",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","46","2.859","34.8","17.4","8.7","10.9","13.0","6.5","8.7",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","92","3.284","34.8","31.5","9.8","7.6","7.6","1.1","3.3",".",".",".",".",".","1.1",".","2.2","1.1"
"","400","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","19","3.789","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","37","4.000","97.3",".",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","401","006","51","3.670","56.9","25.5","9.8","3.9","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"Selected Topics-Poli Sci","","Course Total","107","3.805","71.0","19.6","4.7","1.9","0.9",".",".","0.9",".",".",".",".","0.9",".",".","."
"The American Presidency","408","001","97","3.618","40.2","35.1","14.4","2.1",".",".",".","6.2",".",".",".",".","1.0",".",".","1.0"
"The American Constitution I","411","001","43","3.640","39.5","48.8","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Judicial System","417","001","51","3.392","33.3","27.5","25.5","11.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"United States Congress","426","001","77","3.299","36.4","33.8","6.5","10.4","7.8","5.2",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contentious Politics","431","001","32","3.729","53.1","9.4","9.4",".","3.1",".",".","25.0",".",".",".",".",".",".",".","."
"Criminal Law and Justice","452","001","49","3.436","28.6","38.8","24.5",".","2.0","2.0",".","4.1",".",".",".",".",".",".",".","."
"Women and Politics","469","001","26","3.542","19.2","65.4","3.8","3.8",".",".",".","7.7",".",".",".",".",".",".",".","."
"Honors Race and Pol in the US","481","002","20","3.684","40.0","50.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Dev Mod West Pol Thought","502","001","16","3.156","18.8","43.8","18.8",".","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","506","001","15","3.367","40.0","33.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"","506","002","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","003","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506","004","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","35","3.486","37.1","42.9","8.6","8.6",".","2.9",".",".",".",".",".",".",".",".",".","."
