"ED LEADERSHP & POLICY ANAL Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","",""
"","350
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Peer Ldrshp&Mntrshp-Trans Stdt","Course Total","27","3.852","96.3",".",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","502
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","23","3.609","65.2",".","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","502
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
004","34","3.593","79.4","14.7",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","502
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","89","3.696","83.1","5.6","6.7","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"Legal Rights & Resp for Tchrs","640
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","10","3.556","60.0",".","10.0","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data-Based Decision-Making","726
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Community Engagement","770
001","22","3.810","77.3",".","18.2",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"HPE Capstone Seminar","777
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","11","3.227","54.5","9.1","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Public School Law","840
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"School-Level Leadership","845
001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"The Politics of Education","870
001","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Theory&Practice-Ed Planning","875
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","888
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","888
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment in Higher Education","Course Total","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940
005","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
940","15","3.731","60.0","6.7","20.0",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","940
007","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","940
008","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
009","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","940
013","21","3.882","61.9","19.0",".",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"","940
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","142","3.928","83.1","6.3","2.1","0.7",".",".",".",".",".",".",".",".","7.7",".",".","."
