"BIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","",""
"660
Research Mentor Training","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Studies","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BIOLOGY
205","Dept. Total","","1657","2.999","27.7","10.8","35.4","5.4","14.5","3.6","2.1",".",".","0.2",".","0.1","0.2","0.1","0.1","."
