"Biostats & Biomed Informatics","","","","","","","","","","","","","","","","","","","","","","",""
"877
Statistical Methods-Molec Biol","001
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001
4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","001
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","61
Dept. Total","3.888","70.5","11.5","3.3","",".","",".","",".","",".","1.6","",".",".",".",".","1.6",".","11.5","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special","8","3.800","50.0",".","12.5","",".","",".","",".","",".",".","",".",".",".",".",".",".","37.5","."
"Graduate","47","3.895","72.3","12.8","2.1","",".","",".","",".","",".","2.1","",".",".",".",".","2.1",".","8.5","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
61","3.888","70.5","11.5","3.3","",".","",".","",".","",".","1.6","",".",".",".",".","1.6",".","11.5","."
