"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Ordinary Differentl Equations","519","001","","25","2.780","36.0","8.0","16.0","12.0","8.0","12.0","8.0",".",".",".",".",".",".",".",".","."
"","521","001","","37","3.135","40.5","18.9","13.5","8.1","5.4","13.5",".",".",".",".",".",".",".",".",".","."
"","521","002","","32","2.855","34.4","12.5","6.3","15.6","15.6","6.3","6.3","3.1",".",".",".",".",".",".",".","."
"","521","003","","31","2.774","22.6","9.7","16.1","22.6","22.6","3.2","3.2",".",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","100","2.934","33.0","14.0","12.0","15.0","14.0","8.0","3.0","1.0",".",".",".",".",".",".",".","."
"Analysis II","522","001","","39","3.051","35.9","5.1","28.2","5.1","20.5","5.1",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","35","2.618","11.4","14.3","20.0","25.7","11.4","11.4","2.9",".","2.9",".",".",".",".",".",".","."
"Probability Theory","531","001","","29","2.724","44.8",".","13.8","6.9","13.8","6.9","13.8",".",".",".",".",".",".",".",".","."
"","541","001","","18","3.167","22.2","16.7","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","541","003","","21","1.976","4.8","14.3","19.0","9.5","19.0","9.5","23.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","39","2.526","12.8","15.4","28.2","12.8","12.8","5.1","12.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","29","3.411","31.0","34.5","20.7","3.4","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"Elementary Topology","551","001","","27","3.130","33.3","18.5","25.9","7.4","7.4","3.7","3.7",".",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","17","3.625","47.1","23.5","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","20","3.250","25.0","30.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","632","001","","41","3.402","48.8","7.3","34.1",".","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"","632","002","","39","3.013","38.5","12.8","17.9","5.1","12.8","10.3","2.6",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","80","3.213","43.8","10.0","26.3","2.5","10.0","6.3","1.3",".",".",".",".",".",".",".",".","."
"","682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Undergraduate Thesis","692","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.940","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","29","3.862","82.8","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","25","3.780","68.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","17","3.656","41.2","41.2","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Secnd Crse in Real Analysis","725","001","","29","3.804","75.9","6.9","10.3","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"Integer Optimization","728","001","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Nonlinear Optimization II","730","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","31","3.629","51.6","25.8","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Enum Combinatrcs/Symmet Functn","740","001","","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","19","3.694","63.2","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"Introductory Topology II","752","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","764","001","","16","3.929","75.0","12.5",".",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"Differential Geometry","765","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
