"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","67","3.188","17.9","28.4","32.8","10.4","4.5",".","1.5","3.0",".",".",".",".","1.5",".",".","."
"Intro to Interior Architecture","130
001","48","4.000","97.9",".",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154
001","23","3.795","69.6","13.0","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215
001","12","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","34","3.676","52.9","41.2","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225
001","15","3.300","33.3","13.3","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
242","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","Course Total","27","3.796","66.7","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251
001","30","3.417","30.0","40.0","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Interior Design II","322
001","26","3.788","61.5","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors II","422
001","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","12","3.545","66.7","16.7",".",".",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","18","3.556","38.9","44.4","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","33","3.864","93.9","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","501
006","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","501
007","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
501","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
015","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
501","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","017
501","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501
022","8","3.125","37.5",".","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","123","3.727","75.6","12.2","7.3","0.8","2.4",".","0.8",".",".",".",".",".","0.8",".",".","."
"Internship","601
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623
001","27","3.685","48.1","40.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
041","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
032","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 155 of 422",""
