"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Introduction to Psychology","201
001","20","3.000","30.0","25.0","5.0","25.0",".","15.0",".",".",".",".",".",".",".",".",".","."
"","202
001","232","3.778","80.6","10.8","2.2","1.7","2.6","1.7","0.4",".",".",".",".",".",".",".",".","."
"","002
202","305","3.261","42.3","21.0","14.1","9.2","4.9","6.2","1.6","0.3",".",".",".",".","0.3",".",".","."
"","202
003","263","2.796","15.6","25.9","17.5","14.1","14.8","8.4","3.4","0.4",".",".",".",".",".",".",".","."
"","202
004","193","2.992","25.9","16.6","23.8","11.9","13.5","7.8",".",".",".",".",".",".",".",".",".","0.5"
"Introduction to Psychology","Course Total","993","3.207","41.0","19.0","14.1","9.3","8.7","6.0","1.5","0.2",".",".",".",".","0.1",".",".","0.1"
"","210
001","63","3.040","28.6","11.1","33.3","6.3","15.9","3.2","1.6",".",".",".",".",".",".",".",".","."
"","210
002","57","2.821","21.1","14.0","22.8","10.5","19.3","10.5",".",".",".",".",".",".","1.8",".",".","."
"","210
003","57","3.000","22.8","15.8","28.1","15.8","12.3","5.3",".",".",".",".",".",".",".",".",".","."
"","210
004","63","2.889","22.2","9.5","31.7","9.5","22.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","240","2.939","23.8","12.5","29.2","10.4","17.5","5.4","0.8",".",".",".",".",".","0.4",".",".","."
"","001
225","60","3.092","11.7","23.3","43.3","15.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","225
002","70","3.221","22.9","30.0","30.0","8.6","7.1",".","1.4",".",".",".",".",".",".",".",".","."
"","225
003","35","2.786","11.4","5.7","40.0","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","165","3.082","16.4","22.4","37.0","12.1","11.5",".","0.6",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","25","3.396","52.0","16.0","8.0","12.0","4.0",".","4.0",".",".",".",".",".","4.0",".",".","."
"Honors - Research Methods","285
001","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Psych: Study Abroad","310
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","63","3.995","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Sexuality","350
001","212","3.065","25.9","18.4","26.9","11.3","9.9","5.2","0.9","0.5",".",".",".",".","0.5","0.5",".","."
"Topics in Psych for Honors","386
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","8","3.926","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","11","3.944","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","72","2.900","23.6","13.9","26.4","13.9","9.7","5.6","4.2","2.8",".",".",".",".",".",".",".","."
"","406
002","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","83","3.012","30.1","13.3","24.1","13.3","8.4","4.8","3.6","2.4",".",".",".",".",".",".",".","."
"","001
411","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
002","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
003","17","3.786","58.8","11.8","11.8",".",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"","411
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
411","19","4.000","89.5",".",".",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"","411
006","21","3.925","81.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","411
007","23","3.478","34.8","34.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411
008","23","3.565","52.2","8.7","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
009","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
011","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","197","3.754","65.0","17.3","13.7","1.0",".",".",".","1.0",".",".",".",".","1.5",".","0.5","."
"Field Exper in Psychology","412
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","413
001","127","3.000","26.8","10.2","32.3","13.4","11.0","4.7","1.6",".",".",".",".",".",".",".",".","."
"","413
002","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 297 of 422",""
