"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"","699
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","36","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
001","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".","7.7","."
"","775
004","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","62","",".",".",".",".",".",".",".","98.4",".",".",".",".",".",".","1.6","."
