"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","42","3.381","11.9","59.5","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","38","3.421","34.2","34.2","15.8","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"","300
003","35","3.457","20.0","65.7","2.9","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","300
004","40","3.613","40.0","42.5","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","41","3.317","12.2","53.7","26.8","4.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"","300
006","45","3.322","24.4","44.4","11.1","15.6","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","300
007","39","3.368","17.9","56.4","7.7","10.3","5.1",".",".",".",".",".",".",".","2.6",".",".","."
"","300
008","37","3.514","40.5","40.5","5.4","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"","300
009","41","3.341","29.3","43.9","2.4","19.5","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","300
010","41","3.537","36.6","43.9","9.8","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","39","3.474","20.5","61.5","10.3","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","37","3.432","29.7","45.9","8.1","13.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","475","3.429","26.3","49.3","11.8","9.9","1.9","0.6",".",".",".",".",".",".","0.2",".",".","."
"","305
001","69","3.717","60.9","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","45","3.644","53.3","31.1","8.9","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","114","3.689","57.9","28.1","8.8","4.4","0.9",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","29","3.431","27.6","37.9","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","59","3.720","47.5","49.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","62","3.790","61.3","35.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","Course Total","121","3.756","54.5","42.1","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","26","3.827","80.8","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","37","3.203","13.5","37.8","29.7","13.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","28","3.446","21.4","57.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","31","3.567","38.7","32.3","25.8",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","002
422","33","3.333","18.2","42.4","30.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","64","3.444","28.1","37.5","28.1","3.1","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"","423
001","40","3.475","15.0","67.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","41","3.659","41.5","48.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","81","3.568","28.4","58.0","12.3","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","001
427","35","3.371","25.7","28.6","42.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","43","3.674","53.5","32.6","11.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","32","3.188","18.8","37.5","21.9","12.5","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","31","3.597","32.3","54.8","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","30","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","61","3.623","41.0","42.6","16.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","41","3.563","41.5","29.3","24.4","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","715
001","40","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","33","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 59 of 422"
