"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","191","3.770","75.9","12.0","7.3","1.6","2.1","1.0",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History and Future of Books","350
001","","15","3.429","20.0","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Intro to Digital Information","351
001","","44","3.534","45.5","27.3","18.2","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"Code and Power","500
001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Health","Course Total","","12","3.227","16.7","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"","603
001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","","29","3.776","62.1","31.0","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","629
001","","21","3.762","66.7","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","631
002","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","631
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","","30","3.917","93.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
003","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
005","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
007","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Topics-Library&Informatn St","Course Total","","92","3.953","90.2","8.7",".",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Digital Tools, Trends, Debates","644
001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","","20","3.765","55.0","20.0","10.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"","651
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
