"L&S","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6305","2.986","27.1","12.2","24.4","9.7","15.1","3.3","1.5","5.1","0.0","1.2","0.0","0.2","0.1","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","673","2.772","14.9","13.2","28.8","14.0","21.8","5.3","1.6",".",".","0.1",".",".","0.1",".",".","."
"Sophomore","","2047","3.041","28.4","14.0","25.2","11.6","16.6","3.3","0.8",".",".",".",".",".","0.0",".",".","."
"Junior","","1618","2.949","26.6","10.9","29.5","10.0","17.4","3.3","2.1",".",".",".",".",".","0.1",".",".","0.1"
"Senior","","1218","2.954","27.8","14.4","26.4","9.6","14.7","3.9","2.5","0.2",".","0.2",".",".","0.2",".","0.1","."
"Undergraduates","","5556","2.964","26.1","13.1","27.2","11.0","17.1","3.7","1.7","0.0",".","0.1",".",".","0.1",".","0.0","0.0"
"Special","","39","3.347","53.8","7.7","12.8","5.1","10.3","2.6",".","5.1",".",".",".",".","2.6",".",".","."
"Graduate","","873","3.735","44.4","4.5","2.9","0.3","0.1",".","0.1","36.3","0.2","8.1","0.1","1.3","0.1","0.1","1.4","."
"Prof Yr 4","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","6471","2.986","28.8","11.9","23.8","9.5","14.7","3.2","1.5","5.0","0.0","1.1","0.0","0.2","0.1","0.0","0.2","0.0"
