"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.625","37.5","56.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","31","3.661","45.2","45.2","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese II","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Japanese Communication","377
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
397","23","3.136","21.7","4.3","52.2","13.0","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"","397
002","22","3.295","31.8","27.3","31.8","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
003","20","3.250","20.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.024","19.0","33.3","23.8","9.5","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","397
006","22","3.545","31.8","45.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","20","3.325","30.0","35.0","30.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","008
397","18","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","21","3.452","28.6","42.9","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.452","19.0","57.1","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","012
397","21","3.476","19.0","61.9","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","22","3.273","9.1","59.1","22.7","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","015
397","23","3.182","17.4","34.8","21.7","8.7","13.0",".",".",".",".",".",".",".","4.3",".",".","."
"","397
016","23","3.391","21.7","39.1","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","22","3.159","18.2","40.9","22.7","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","310","3.315","22.6","38.7","27.4","6.5","2.3","0.6","1.3",".",".",".",".",".","0.6",".",".","."
"Tech Communications Intrshp","398
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Politics&Govrnmnt","Course Total","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Adv Technical Japanese Smr","603
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Technical Info","617
001","20","3.500","35.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design I","622
001","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Project Management","626
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspectives - Engine Modeling","627
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine-Legis Drivers&Alt Fuels","643
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
003","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ind Ecology: Sustainability","Course Total","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 129 of 422",""
