"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"790","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","38","",".",".",".",".",".",".",".","65.8","2.6",".",".","31.6",".",".",".","."
"821
Envir Engr:Biologic Treatmt","003","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","32","",".",".",".",".",".",".",".","81.3",".",".",".","18.8",".",".",".","."
"909
Env Chem & Tech Grad Seminar","001","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","17","3.864","47.1","17.6",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"929
Seminar-Envir Engineering","001","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"939
Smr-Geotechnical Engr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 118 of 422",""
