"L&S","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUDI Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","817","3.805","74.8","13.8","6.5","1.5","1.2","0.2","",".","0.6","",".",".","",".","0.1","1.0",".","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","8","3.500","50.0","25.0","12.5",".","12.5",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","68","3.772","75.0","13.2","5.9","2.9","2.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","86","3.826","79.1","12.8","5.8","1.2",".","1.2","",".",".","",".",".","",".",".",".",".",".","."
"Senior","105","3.564","53.3","20.0","19.0","3.8","2.9","1.0","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","267","3.700","67.0","16.1","11.2","2.6","2.2","0.7","",".",".","",".",".","",".",".",".",".",".","."
"Special","11","3.850","72.7","9.1","9.1",".",".",".","",".",".","",".",".","",".",".",".",".","9.1","."
"Graduate","539","3.864","78.7","12.8","4.1","0.9","0.7",".","",".","0.9","",".",".","",".","0.2","1.5",".","0.2","."
"Dept. Total","817","3.805","74.8","13.8","6.5","1.5","1.2","0.2","",".","0.6","",".",".","",".","0.1","1.0",".","0.2","."
